Source,Taxon,Country,Accession,Latitude,Longitude,Elevation,Stratification_temperature,Stratification_days,Stratification,Scarification,GA3,Light,Dish,Tmax,Tmin,Photoperiod,Sown,Germinated,Normal
Sergey Rosbakh unpubl,Nardus stricta,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d1,26,18,14,30,28,30
Sergey Rosbakh unpubl,Nardus stricta,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d2,26,18,14,30,22,30
Sergey Rosbakh unpubl,Nardus stricta,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d3,26,18,14,30,21,30
Sergey Rosbakh unpubl,Arenaria lychnidea,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d1,10,2,14,20,0,20
Sergey Rosbakh unpubl,Arenaria lychnidea,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d2,10,2,14,20,0,20
Sergey Rosbakh unpubl,Arenaria lychnidea,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d3,10,2,14,20,0,20
Sergey Rosbakh unpubl,Arenaria lychnidea,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d1,14,6,14,20,15,20
Sergey Rosbakh unpubl,Arenaria lychnidea,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d2,14,6,14,20,14,20
Sergey Rosbakh unpubl,Arenaria lychnidea,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d3,14,6,14,20,14,20
Sergey Rosbakh unpubl,Arenaria lychnidea,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d1,18,10,14,20,13,20
Sergey Rosbakh unpubl,Arenaria lychnidea,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d2,18,10,14,20,12,20
Sergey Rosbakh unpubl,Arenaria lychnidea,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d3,18,10,14,20,9,20
Sergey Rosbakh unpubl,Arenaria lychnidea,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d1,22,14,14,20,16,20
Sergey Rosbakh unpubl,Arenaria lychnidea,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d2,22,14,14,20,14,20
Sergey Rosbakh unpubl,Arenaria lychnidea,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d3,22,14,14,20,11,20
Sergey Rosbakh unpubl,Arenaria lychnidea,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d1,26,18,14,20,15,20
Sergey Rosbakh unpubl,Arenaria lychnidea,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d2,26,18,14,20,10,20
Sergey Rosbakh unpubl,Arenaria lychnidea,Russia,NA,43.27,41.41,2800,4,90,1,0,0,Y,d3,26,18,14,20,9,20
Sergey Rosbakh unpubl,Hedysarum caucasicum,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d1,10,2,14,20,19,20
Sergey Rosbakh unpubl,Hedysarum caucasicum,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d2,10,2,14,20,18,20
Sergey Rosbakh unpubl,Hedysarum caucasicum,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d3,10,2,14,20,17,20
Sergey Rosbakh unpubl,Hedysarum caucasicum,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d1,14,6,14,20,18,20
Sergey Rosbakh unpubl,Hedysarum caucasicum,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d2,14,6,14,20,20,20
Sergey Rosbakh unpubl,Hedysarum caucasicum,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d3,14,6,14,20,15,20
